Id,Name,Rank,Class,Hp,Melee,Ranged,Comment
24,Skeleton Spearman,Regular,Spear,5,"(-1,-1, 2);( 0,-1, 1);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,
25,Volus the Defiler,Command,Infantry,6,"(-1,-1, 3);( 0,-1, 5);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 1);(1, 1, 0);",,
26,Rib Quiver,Command,Ranged,5,"(-1,-1, 3);( 0,-1, 3);( 1,-1, 3);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,5);(0,-3,5);(1,-3,5);
(-1,-2,5);(0,-2,5);(1,-2,5);
(-1,-1,5);(0,-1,5);(1,-1,5);",
27,Cerberus,Command,Cavalry,6,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 4);( 0, 1, 4);(1, 1, 4);",,
28,Oozool the Putrid,Command,Infantry,5,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 1);( 0, 1, 2);(1, 1, 1);",,
29,Zombie Halberd,Recruit,Spear,3,"(-1,-1, 1);( 0,-1, 0);( 1,-1, 1);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
30,Banshee,Special,Infantry,4,"(-1,-1, 3);( 0,-1, 5);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 0);(1, 1, 3);",,
31,Zombie Gnasher,Recruit,Infantry,1,"(-1,-1, 3);( 0,-1, 4);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",,can move
32,Headless Horseman,Veteran,Cavalry,3,"(-1,-1, 4);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 3);( _, _, _);( 1, 0, 0);
( -1, 1, 4);( 0, 1, 0);(1, 1, 0);",,
33,Black Rider,Special,Cavalry,5,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 5);
(-1, 0, 0);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 0);(1, 1, 5);",,
34,Skeleton Archer,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 1);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,3);(0,-3,3);(1,-3,3);
(-1,-2,3);(0,-2,3);(1,-2,3);
(-1,-1,3);(0,-1,3);(1,-1,3);",
35,Headless Horseman,Veteran,Cavalry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 4);
(-1, 0, 0);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 0);(1, 1, 4);",,
36,Headless Horseman,Veteran,Cavalry,3,"(-1,-1, 4);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 3);( _, _, _);( 1, 0, 0);
( -1, 1, 4);( 0, 1, 0);(1, 1, 0);",,
