Id,Name,Rank,Class,Hp,Melee,Ranged
12,Orc Warhog,Elite,Cavalry,4,"(-1,-1, 0);( 0,-1, 2);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 4);
( -1, 1, 0);( 0, 1, 0);(1, 1, 3);",
13,Orc Warhog,Elite,Cavalry,4,"(-1,-1, 3);( 0,-1, 2);( 1,-1, 0);
(-1, 0, 4);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 0);(1, 1, 0);",
14,Goblin Spikeman,Recruit,Spear,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 1);",
15,Orc Deathbringer,Regular,Berserker,2,"(-1,-1, 5);( 0,-1, 5);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
16,Eruugor Bloodfist,Command,Infantry,5,"(-1,-1, 0);( 0,-1, 3);( 1,-1, 0);
(-1, 0, 5);( _, _, _);( 1, 0, 5);
( -1, 1, 1);( 0, 1, 0);(1, 1, 1);",
17,Kragdish Blackmaw,Command,Infantry,5,"(-1,-1, 3);( 0,-1, 1);( 1,-1, 3);
(-1, 0, 4);( _, _, _);( 1, 0, 4);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
18,Ugluk Horsekiller,Command,Spear,6,"(-1,-1, 4);( 0,-1, 0);( 1,-1, 4);
(-1, 0, 2);( _, _, _);( 1, 0, 2);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
19,Goblin Bow Pest,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,2);(0,-3,2);(1,-3,2);
(-1,-2,2);(0,-2,2);(1,-2,2);
(-1,-1,2);(0,-1,2);(1,-1,2);"
20,Goblin Spikeman,Recruit,Spear,3,"(-1,-1, 1);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 1);( 0, 1, 0);(1, 1, 0);",
21,Orc Warhog,Elite,Cavalry,4,"(-1,-1, 3);( 0,-1, 2);( 1,-1, 0);
(-1, 0, 4);( _, _, _);( 1, 0, 0);
( -1, 1, 3);( 0, 1, 0);(1, 1, 0);",
22,Goblin Spider Rider,Special,Cavalry,4,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 2);( _, _, _);( 1, 0, 2);
( -1, 1, 1);( 0, 1, 0);(1, 1, 1);",
23,Snafu Bighorn,Command,Spear,5,"(-1,-1, 2);( 0,-1, 1);( 1,-1, 2);
(-1, 0, 2);( _, _, _);( 1, 0, 2);
( -1, 1, 3);( 0, 1, 0);(1, 1, 3);",
24,Orc Catapult,Veteran,Ranged,4,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,4);(0,-3,4);(1,-3,4);
(-1,-2,4);(0,-2,4);(1,-2,4);
(-1,-1,4);(0,-1,4);(1,-1,4);"
25,Goblin Spider Rider,Special,Cavalry,4,"(-1,-1, 2);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 2);( _, _, _);( 1, 0, 2);
( -1, 1, 1);( 0, 1, 0);(1, 1, 1);",
26,Goblin Bow Pest,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,2);(0,-3,2);(1,-3,2);
(-1,-2,2);(0,-2,2);(1,-2,2);
(-1,-1,2);(0,-1,2);(1,-1,2);"
27,Vanak Fleshripper,Command,Infantry,5,"(-1,-1, 5);( 0,-1, 3);( 1,-1, 5);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
28,Goblin Spikeman,Recruit,Spear,3,"(-1,-1, 1);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 0);
( -1, 1, 1);( 0, 1, 0);(1, 1, 0);",
29,Goblin Bow Pest,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,2);(0,-3,2);(1,-3,2);
(-1,-2,2);(0,-2,2);(1,-2,2);
(-1,-1,2);(0,-1,2);(1,-1,2);"
30,Goblin Shanker,Recruit,Infantry,3,"(-1,-1, 0);( 0,-1, 4);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
31,Goblin Bow Pest,Regular,Ranged,3,"(-1,-1, 1);( 0,-1, 2);( 1,-1, 1);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,2);(0,-3,2);(1,-3,2);
(-1,-2,2);(0,-2,2);(1,-2,2);
(-1,-1,2);(0,-1,2);(1,-1,2);"
32,Orc Ravager,Elite,Infantry,3,"(-1,-1, 5);( 0,-1, 3);( 1,-1, 2);
(-1, 0, 0);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
33,Goblin Shanker,Recruit,Infantry,3,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 1);( 0, 1, 4);(1, 1, 0);",
34,Orc Butcher,Special,Infantry,4,"(-1,-1, 3);( 0,-1, 4);( 1,-1, 3);
(-1, 0, 3);( _, _, _);( 1, 0, 3);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
35,Orc Deathbringer,Regular,Berserker,2,"(-1,-1, 3);( 0,-1, 5);( 1,-1, 3);
(-1, 0, 0);( _, _, _);( 1, 0, 0);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);",
36,Orc Catapult,Veteran,Ranged,4,"(-1,-1, 0);( 0,-1, 0);( 1,-1, 0);
(-1, 0, 1);( _, _, _);( 1, 0, 1);
( -1, 1, 0);( 0, 1, 0);(1, 1, 0);","(-1,-3,4);(0,-3,4);(1,-3,4);
(-1,-2,4);(0,-2,4);(1,-2,4);
(-1,-1,4);(0,-1,4);(1,-1,4);"
